model_key,model_label,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_gamma,param_kernel,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_samples,param_num_leaves,param_reg_alpha,param_depth,param_iterations,param_l2_leaf_reg
lgbm,LightGBM,2.7023300170898437,0.09881573357943263,0.025513124465942384,0.005920032970881784,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 63, 'reg_alpha': 0.0}",0.5988141876847517,0.5681227687675938,0.5536476634955824,0.549415999229633,0.5636489421433843,0.566729912264189,0.017388214242979462,260,0.9958633750184945,0.9938995328884452,0.996865196048258,0.9956904794581009,0.9937254282444625,0.9952088023315522,0.0012098515246406181,,,,,,300.0,0.05,,,20.0,63.0,0.0,,,
lgbm,LightGBM,2.819849157333374,0.011862942613591445,0.02403712272644043,0.004283753910545631,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 63, 'reg_alpha': 0.1}",0.6003981522094072,0.5873852620541576,0.5556086575928753,0.5422440368121796,0.5747177408852127,0.5720707699107666,0.020998170692439363,193,0.9958633750184945,0.9931129086790317,0.9956871000730884,0.9952977795889681,0.9929012120307896,0.9945724750780744,0.001292929419237068,,,,,,300.0,0.05,,,20.0,63.0,0.1,,,
lgbm,LightGBM,2.8153357028961183,0.019444395633648956,0.02314414978027344,0.0035890167440189003,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 63, 'reg_alpha': 1.0}",0.5904027164970185,0.5738906604886321,0.5606587511973015,0.5529532718920225,0.5832748032778792,0.5722360406705708,0.013859862629484463,190,0.9793760792371645,0.9754221830807861,0.9755849608403198,0.9794079241991017,0.974615194760833,0.976881268423641,0.0020761745416281847,,,,,,300.0,0.05,,,20.0,63.0,1.0,,,
lgbm,LightGBM,3.516724967956543,0.03781005177593654,0.027544450759887696,0.008365685405807186,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 127, 'reg_alpha': 0.0}",0.5893249711056094,0.5665296835585415,0.5575352798122233,0.5294882675960148,0.5792761195603237,0.5644308643265425,0.020557418853147442,281,0.9992172210150718,0.9996086871303898,0.9984338283262271,0.9996089931424325,0.9984350538141727,0.9990607566856587,0.0005310019439555964,,,,,,300.0,0.05,,,20.0,127.0,0.0,,,
lgbm,LightGBM,3.5226349353790285,0.03422873600158369,0.021306180953979494,0.0003168621701648272,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 127, 'reg_alpha': 0.1}",0.5962762305653773,0.5831582370264221,0.5592361737577566,0.5620868133555046,0.5735591554042786,0.5748633220218679,0.013685510983241242,148,0.9980419013912729,0.9988256014738631,0.9988256014738631,0.9992178332788377,0.9984350538141727,0.998669198286402,0.00039956208467147177,,,,,,300.0,0.05,,,20.0,127.0,0.1,,,
lgbm,LightGBM,3.1463388919830324,0.134178768898374,0.021985721588134766,0.0035298624739213574,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 127, 'reg_alpha': 1.0}",0.6041370851446374,0.5807628941450085,0.5550845634216643,0.5457157159485412,0.5819756171276517,0.5735351751575006,0.020853322331850273,164,0.9819828717819269,0.9807971403712564,0.9807712946743075,0.9813821409257028,0.9785912076533817,0.9807049310813151,0.0011465146328797171,,,,,,300.0,0.05,,,20.0,127.0,1.0,,,
lgbm,LightGBM,0.4380770206451416,0.039057938679574904,0.013212108612060547,0.0006503514787287614,,,"{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 31, 'reg_alpha': 0.0}",0.5957107717083953,0.5665296835585415,0.5683519130422836,0.5849241394819472,0.5703776667909715,0.5771788349164277,0.011322519917052682,96,0.8015478080217826,0.812737791918875,0.8184857957367686,0.8044980552704084,0.8064079884146973,0.8087354878725064,0.006101192859554549,,,,,,100.0,0.05,,,50.0,31.0,0.0,,,
lgbm,LightGBM,0.517574405670166,0.10700071052287773,0.019955873489379883,0.01150284936681801,,,"{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 31, 'reg_alpha': 0.1}",0.5886487517536892,0.5723403964528143,0.5619550737398504,0.5759934755090885,0.5826452566257021,0.5763165908162289,0.009102767734792388,112,0.8045293455729335,0.8081262872607639,0.8077474188446003,0.8055174478441124,0.8005001580224349,0.805284131508969,0.0027443095472881743,,,,,,100.0,0.05,,,50.0,31.0,0.1,,,
lgbm,LightGBM,0.5040565967559815,0.05195928799573848,0.013876867294311524,0.0009358265123595605,,,"{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 31, 'reg_alpha': 1.0}",0.5931595361233921,0.576155063210196,0.572554475531351,0.5734525012905018,0.5850679084750195,0.580077896926092,0.00789830184938868,54,0.7897828435087372,0.7976802115759491,0.7929751143690942,0.7891534423052731,0.7817327294738039,0.7902648682465715,0.005226810848803205,,,,,,100.0,0.05,,,50.0,31.0,1.0,,,
lgbm,LightGBM,0.5012920379638672,0.005482276377747893,0.013513517379760743,0.0006320722032698216,,,"{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 63, 'reg_alpha': 0.0}",0.5846143147912336,0.5662051176862654,0.5710139974590095,0.5845318625016818,0.5762058233413748,0.576514223155913,0.007300948896221833,106,0.8005602570037057,0.8151211923198288,0.8159223186304537,0.808323472042092,0.8008766488623554,0.8081607777716873,0.006626338453809724,,,,,,100.0,0.05,,,50.0,63.0,0.0,,,
lgbm,LightGBM,0.4897124767303467,0.0108181238083799,0.013863229751586914,0.0007017625368835677,,,"{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 63, 'reg_alpha': 0.1}",0.5972131972262305,0.568244091952759,0.5733832770084433,0.5810684059492348,0.5713018548128813,0.5782421653899099,0.010388704099142384,76,0.8037513775794531,0.8103420694654534,0.8171348271690664,0.8049142898053291,0.8005348264840549,0.8073354781006714,0.005831357055048557,,,,,,100.0,0.05,,,50.0,63.0,0.1,,,
lgbm,LightGBM,0.4676093101501465,0.015343951529906705,0.013723278045654297,0.00109219736470896,,,"{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 63, 'reg_alpha': 1.0}",0.6020797289396147,0.578768024747902,0.5743442552419339,0.5762058233413748,0.5545549177640302,0.5771905500069712,0.015122186231048109,94,0.7911799134097065,0.7877247921403037,0.7985671171296614,0.7873584546295954,0.7837970499788128,0.789725465457616,0.005000835274371861,,,,,,100.0,0.05,,,50.0,63.0,1.0,,,
lgbm,LightGBM,0.5006615161895752,0.006677683482988793,0.013232946395874023,0.0002986544599757121,,,"{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 127, 'reg_alpha': 0.0}",0.5846143147912336,0.5662051176862654,0.5710139974590095,0.5845318625016818,0.5762058233413748,0.576514223155913,0.007300948896221833,106,0.8005602570037057,0.8151211923198288,0.8159223186304537,0.808323472042092,0.8008766488623554,0.8081607777716873,0.006626338453809724,,,,,,100.0,0.05,,,50.0,127.0,0.0,,,
lgbm,LightGBM,0.5024206161499023,0.011044150420493165,0.013107633590698243,0.0003893613691214913,,,"{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 127, 'reg_alpha': 0.1}",0.5972131972262305,0.568244091952759,0.5733832770084433,0.5810684059492348,0.5713018548128813,0.5782421653899099,0.010388704099142384,76,0.8037513775794531,0.8103420694654534,0.8171348271690664,0.8049142898053291,0.8005348264840549,0.8073354781006714,0.005831357055048557,,,,,,100.0,0.05,,,50.0,127.0,0.1,,,
